sequence,case,engine,allocator,input_label,scope,owner_tag,observed_samples,denominator_samples,share_pct,overlap_note
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,librime_script_translation,0,2931,0.0,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,allocator_leaf,558,2931,19.038,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,system_compare_copy_leaf,726,2931,24.77,inclusive stack tags may overlap; do not sum shares
3,03-yune-default-zh,yune,default,zh,RimeProcessKey,allocator_leaf_under_primary_owner,427,2931,14.568,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,yune_marisa_lookup,0,2599,0.0,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,yune_sentence_model,0,2599,0.0,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,yune_abbreviation_sentence,0,2599,0.0,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,yune_sentence_word_graph,0,2599,0.0,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,yune_leading_single_syllable_prefix,0,2599,0.0,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,yune_filter_sort_hash,0,2599,0.0,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,librime_dictionary_table_query,1546,2599,59.484,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,librime_table_query_access,622,2599,23.932,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,librime_syllabifier_prism,362,2599,13.928,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,librime_script_translation,2419,2599,93.074,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,allocator_leaf,783,2599,30.127,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,system_compare_copy_leaf,211,2599,8.119,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,whole_process,allocator_leaf_under_primary_owner,522,2599,20.085,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,yune_marisa_lookup,0,2101,0.0,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,yune_sentence_model,0,2101,0.0,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,yune_abbreviation_sentence,0,2101,0.0,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,yune_sentence_word_graph,0,2101,0.0,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,yune_leading_single_syllable_prefix,0,2101,0.0,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,yune_filter_sort_hash,0,2101,0.0,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,librime_dictionary_table_query,1546,2101,73.584,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,librime_table_query_access,622,2101,29.605,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,librime_syllabifier_prism,215,2101,10.233,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,librime_script_translation,2015,2101,95.907,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,allocator_leaf,631,2101,30.033,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,system_compare_copy_leaf,185,2101,8.805,inclusive stack tags may overlap; do not sum shares
4,04-librime-default-zh,librime,default,zh,RimeProcessKey,allocator_leaf_under_primary_owner,522,2101,24.845,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,yune_marisa_lookup,2830,3872,73.089,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,yune_sentence_model,1612,3872,41.632,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,yune_abbreviation_sentence,50,3872,1.291,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,yune_sentence_word_graph,47,3872,1.214,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,yune_leading_single_syllable_prefix,441,3872,11.389,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,yune_filter_sort_hash,198,3872,5.114,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,librime_dictionary_table_query,0,3872,0.0,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,librime_table_query_access,0,3872,0.0,inclusive stack tags may overlap; do not sum shares
