role,path,sha256,note
mac_memory_owner_run2,accepted/run-2/memory-owner-profile.csv,b9fb9a98653dbdd94207086f0fa22058eba02108b6e1bfb0356c5ae1dce1fca1,normalized logical-owner comparison; absolute process counters excluded
mac_product_status_run2,accepted/run-2/product_path_status.csv,3f9f104917ff409a1a3a3f5dbae387db885abb6941fa131dbd149c0137e13980,checksum and storage-shape comparison source
final_windows_summary_run2,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run2/summary.csv,d5f094e66d42de54e581b62aee4cdd9757208c7e3907bdcddbf7f147665df8b2,source-matched absolute component and Track B observation source
final_windows_candidate_run2,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run2/candidate_snapshots.csv,1535defeeff99f4fd55ed62dc8ae47ab9bd34ca4ed02aff4440e31caf633548d,all five final-Windows candidate files are verified equal by the report builder
final_windows_memory_owner_run2,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run2/memory-owner-profile.csv,876eea17a8351d49938596e143a3c450024b4fecd1976a2e0fa234b208012bb0,normalized logical-owner comparison source
final_windows_product_status_run2,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run2/product_path_status.csv,612deeed75785f3949c376d27b315c382f3c7b368859e4cb05da8ed5965abf24,checksum and storage-shape comparison source
mac_candidate_run3,accepted/run-3/candidate_snapshots.csv,bbad1dbb61f2ead3bd56a5b4888d5269737315a5a5c45fc10de5ce2da3d63408,all five Mac candidate files are verified equal by hash and parsed rows
mac_memory_owner_run3,accepted/run-3/memory-owner-profile.csv,eadf5c0f174e13630f92d3cf25e81483fce9df94c9776e6d54199aa3bd052e65,normalized logical-owner comparison; absolute process counters excluded
mac_product_status_run3,accepted/run-3/product_path_status.csv,c5ab77c535b1f1387bfd1e27a680721c3b9041a52acdecc77e1e312d63e50d23,checksum and storage-shape comparison source
final_windows_summary_run3,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run3/summary.csv,91b9acef68f35ea265d480ce4981d0625071f4554575b711fa83192f85280a97,source-matched absolute component and Track B observation source
final_windows_candidate_run3,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run3/candidate_snapshots.csv,1535defeeff99f4fd55ed62dc8ae47ab9bd34ca4ed02aff4440e31caf633548d,all five final-Windows candidate files are verified equal by the report builder
final_windows_memory_owner_run3,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run3/memory-owner-profile.csv,2ba677e1db9ef9224a5363cce93468eb07dc918cbf26227f2a01487465155f5a,normalized logical-owner comparison source
final_windows_product_status_run3,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run3/product_path_status.csv,33b5fdf86641aac11b8623c1c421498b14e4aa56840dc5eba0e154f49e14d714,checksum and storage-shape comparison source
mac_candidate_run4,accepted/run-4/candidate_snapshots.csv,bbad1dbb61f2ead3bd56a5b4888d5269737315a5a5c45fc10de5ce2da3d63408,all five Mac candidate files are verified equal by hash and parsed rows
mac_memory_owner_run4,accepted/run-4/memory-owner-profile.csv,3ff3b803d84c42b17d000efbd734704fe2727469df69578236bb3a0209f9e009,normalized logical-owner comparison; absolute process counters excluded
mac_product_status_run4,accepted/run-4/product_path_status.csv,176fb0a4a862b19e1cb805f4a6ef1d0197a0b775a8f74651e788c491604c5d25,checksum and storage-shape comparison source
final_windows_summary_run4,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run4/summary.csv,5eb9ef61aaf0ea7c8947c4ed1467517a407cdcec113ac18d39dc652e87393d93,source-matched absolute component and Track B observation source
final_windows_candidate_run4,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run4/candidate_snapshots.csv,1535defeeff99f4fd55ed62dc8ae47ab9bd34ca4ed02aff4440e31caf633548d,all five final-Windows candidate files are verified equal by the report builder
final_windows_memory_owner_run4,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run4/memory-owner-profile.csv,db14de6df951a2f5afe63258f2de00c84d83ed97bc9208322385a7fc0cd91558,normalized logical-owner comparison source
final_windows_product_status_run4,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run4/product_path_status.csv,3d51eb240acda415185c427a90f4b788b0217c181463f38d34661db9d7362bcf,checksum and storage-shape comparison source
mac_candidate_run5,accepted/run-5/candidate_snapshots.csv,bbad1dbb61f2ead3bd56a5b4888d5269737315a5a5c45fc10de5ce2da3d63408,all five Mac candidate files are verified equal by hash and parsed rows
mac_memory_owner_run5,accepted/run-5/memory-owner-profile.csv,416b662deffa1722b756bc5b82c0a1d43fa8588d8c6d8042987652a77baf4619,normalized logical-owner comparison; absolute process counters excluded
mac_product_status_run5,accepted/run-5/product_path_status.csv,9a833a4185f94aecc674616f9620fa3dfc768adb6a9856a58d71566a68906209,checksum and storage-shape comparison source
final_windows_summary_run5,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run5/summary.csv,b53711f0d588d85cb6cd929466e2e39e1daddfa807c04e9b04945fb74be4d37c,source-matched absolute component and Track B observation source
final_windows_candidate_run5,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run5/candidate_snapshots.csv,1535defeeff99f4fd55ed62dc8ae47ab9bd34ca4ed02aff4440e31caf633548d,all five final-Windows candidate files are verified equal by the report builder
final_windows_memory_owner_run5,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run5/memory-owner-profile.csv,6ea2467b5fcfe26a850d45e31e4c0c3521c399247bfe19247b5ffa50e7d2026f,normalized logical-owner comparison source
final_windows_product_status_run5,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run5/product_path_status.csv,0d7fa8afc8e17a33248a6ba00f4445d31770eb4255d24cf32dfb070a331585d9,checksum and storage-shape comparison source
mac_report_behavior_gate_result,aggregate/behavior-gates/result.txt,31d1335ea1ff4ff6b1664b8afd9864d18f0fd87cf033c106fce0e8a84127a74d,commit-bound Lane-B and 37/59 focused gate summary
m57_report_candidate_snapshot,docs/reports/evidence/m57-macos-track-a-sentence-model-parity/full-pass-1/candidate_snapshots.csv,405c58557ba3a5885678637d26632f26f641d405c9f98d355b7b0b09da8cc4d8,Track B behavior-shape comparison
m57_report_memory_owner,docs/reports/evidence/m57-macos-track-a-sentence-model-parity/full-pass-1/memory-owner-profile.csv,581f79d2ce9ab11b795ffb32ae14f37bf80011f5722dedb57b230e2da05d8962,historical logical-owner comparison
m57_report_product_status,docs/reports/evidence/m57-macos-track-a-sentence-model-parity/full-pass-1/product_path_status.csv,2dc64a811966a7ed26b04fc6c197ffd8141f40c1c023a187ad4eaf6b273afe60,Track B checksum and storage-shape comparison
