engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,15,3,3,21579700,9,20722100,19918,52,48,100,1400,38100,0,1400,48,0,5,1,363100,5,1,300
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,16,3,3,21554200,9,20712600,19918,52,48,100,1600,41100,100,1700,48,0,5,1,348000,5,1,300
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,17,3,3,21256700,9,20472200,19918,52,48,0,1000,34000,0,1200,48,0,5,1,350700,5,1,300
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,18,3,3,21219400,9,20452300,19918,52,48,0,900,25500,100,1000,48,0,5,1,350800,5,1,500
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,19,3,3,21330300,9,20556200,19918,52,48,100,800,24300,100,1100,48,0,5,1,352000,5,1,300
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,0,7,7,11564600,21,10024200,13954,62,53,300,2200,49000,400,2100,53,0,0,1,340600,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,1,7,7,11523600,21,9994800,13954,62,53,300,1900,47100,0,2200,53,0,0,1,343200,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,2,7,7,11879100,21,10243300,13954,62,53,300,2600,62300,200,1800,53,0,0,1,343000,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,3,7,7,11770700,21,10204700,13954,62,53,100,2400,54200,300,1600,53,0,0,1,348100,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,4,7,7,12064500,21,10425700,13954,62,53,600,3300,66400,100,2000,53,0,0,1,362000,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,5,7,7,12645700,21,10926100,13954,62,53,800,4800,72700,600,3700,53,0,0,1,362800,0,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,6,7,7,12232000,21,10573100,13954,62,53,500,3700,72900,100,2200,53,0,0,1,395300,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,7,7,7,11830600,21,10267500,13954,62,53,200,2100,61000,100,1800,53,0,0,1,374500,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,8,7,7,11538500,21,9983600,13954,62,53,500,2600,56900,0,1800,53,0,0,1,348600,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,9,7,7,12041100,21,10411300,13954,62,53,500,2800,57500,200,2000,53,0,0,1,356100,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,10,7,7,12293600,21,10625500,13954,62,53,600,2800,65900,400,2000,53,0,0,1,355000,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,11,7,7,11814300,21,10219800,13954,62,53,300,2300,63700,100,1600,53,0,0,1,348200,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,12,7,7,11898200,21,10257400,13954,62,53,300,3100,63100,100,2000,53,0,0,1,346900,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,13,7,7,12092300,21,9834600,13954,62,53,700,4900,62300,300,4800,53,0,0,1,379100,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,14,7,7,12210000,21,10503100,13954,62,53,500,2800,59000,100,1900,53,0,0,1,350000,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,15,7,7,11644300,21,10046400,13954,62,53,400,2800,62800,400,1800,53,0,0,1,347800,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,16,7,7,11602900,21,9899100,13954,62,53,200,2300,57500,200,1800,53,0,0,1,369000,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,17,7,7,11647300,21,10058800,13954,62,53,100,2200,58000,100,1600,53,0,0,1,348000,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,18,7,7,11387500,21,9868700,13954,62,53,300,1800,56400,0,2000,53,0,0,1,350600,0,1,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,19,7,7,11443700,21,9813000,13954,62,53,400,2700,48700,100,2400,53,0,0,1,381700,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,0,13,13,36683700,39,35324600,26660,46,45,1000,4600,50400,300,1900,45,0,0,1,359500,0,1,100
