event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
23,"m47:compiled_dictionary:luna_pinyin:after_table_byte_source_open:table_bytes=4640486",17809408,17,8712192,8.3,511193088,487.5,3590405,3.4,458025334,436.8,,,""
24,"m47:compiled_dictionary:luna_pinyin:after_prism_byte_source_open:prism_bytes=1642925",17813504,17,8716288,8.3,511193088,487.5,3590609,3.4,458025334,436.8,,,""
25,"m47:compiled_dictionary:luna_pinyin:after_reverse_bytes_read:reverse_bytes=1263091",19079168,18.2,9981952,9.5,511193088,487.5,4853660,4.6,458025334,436.8,,,""
26,"m55:compiled_dictionary:luna_pinyin:after_poet_summary_parse:poet_bytes=28542082:entries=70805:vocabulary=421966:abbreviation_vocabulary=11",47644672,45.4,10039296,9.6,511193088,487.5,4854482,4.6,458025334,436.8,,,""
27,"m47:compiled_dictionary:luna_pinyin:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",55070720,52.5,16756736,16,511193088,487.5,9779181,9.3,458025334,436.8,,,""
28,"m47:compiled_dictionary:luna_pinyin:after_reverse_advanced_merge_drop",47620096,45.4,8896512,8.5,511193088,487.5,3591173,3.4,458025334,436.8,,,""
29,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=62158:lookup_records=70805",51712000,49.3,8896512,8.5,511193088,487.5,3591333,3.4,458025334,436.8,,,""
30,"m47:compiled_dictionary:luna_pinyin:after_table_advanced_payload_parse:lookup_texts=62158:lookup_records=70805",54214656,51.7,11395072,10.9,511193088,487.5,6077879,5.8,458025334,436.8,,,""
31,"m47:compiled_dictionary:luna_pinyin:after_compact_table_store_parse",58421248,55.7,16244736,15.5,511193088,487.5,9590225,9.1,458025334,436.8,,,""
32,"m47:translator:script_translator@translator:dictionary:luna_pinyin:after_dictionary_load",57176064,54.5,14888960,14.2,511193088,487.5,8698486,8.3,458025334,436.8,,,""
33,"m47:compact_table:after_storage_backed_normal_codes:index=compact_table_has_code",57188352,54.5,14888960,14.2,511193088,487.5,8701894,8.3,458025334,436.8,,,""
34,"m47:translator:script_translator@translator:dictionary:luna_pinyin:after_translator_index_build",100986880,96.3,66318336,63.2,511193088,487.5,46330234,44.2,458025334,436.8,,,""
35,"m47:phase:after_create_session",99811328,95.2,62763008,59.9,511193088,487.5,45135023,43,458025334,436.8,,,""
36,"m47:phase:after_select_schema",99815424,95.2,62763008,59.9,511193088,487.5,45135144,43,458025334,436.8,,,""
37,"m47:phase:after_typing_sequence",100126720,95.5,62799872,59.9,511193088,487.5,45168256,43.1,458025334,436.8,,,""
38,"m47:phase:steady_after_esc",100126720,95.5,62799872,59.9,511193088,487.5,45168269,43.1,458025334,436.8,,,""
