path,bytes,sha256
owner-reconciliation-verdict.txt,1642,20bcde3bbbbe34d2e38eca65f023ecf2d9710b12156b491bfe54eaee7a430588
packet-validation.txt,449,7c4937b51bdefd716eba2b80a3ccdabae8976871ec8a15c4372caa9c5e0046a6
phase0a-artifact-preparation-red.md,1090,b8822e46fe791865a4f81aceb389349b47b1da4d09152ae17783970bf6586e09
phase0a-owned-gate-provenance.json,14311,22d8f849fef9c7a0fdbb142b79b012bff99a73cae0a8c6c556fd26d869a0fb3f
phase0a-owned-gate-verdict.csv,5486,93a6946bce93811fce166d9dc479382dce306d54d6eb6d4054bfa35a4c108b8a
phase0b-corrected-owned-gate-provenance.json,14311,33b98f79e79dada1d7381fc00134e977ac57f321687b0c6d4e3f5d2f4ed5997a
phase0b-corrected-owned-gate-verdict.csv,5490,ca0e3fba410ce371601f53cfbdbfe10d2b2386421566b28a91650f5b967d4b70
phase0b-owner-shape-red.md,1025,af6ce3aae228757b08891affb43383bdf56cd208219ea0b9ed57544dc424dcd0
phase0b-track-b-red.md,952,da1b7608d0f27e1ed746402285167c411b5a3a66974956c10ce0190a841782c1
planning-amendment-review-isolation.md,2020,f49de73e0b443b91f2e82c15f0be7cf8bba2991f7c1fd766d49908ac85065578
planning-amendment-review-requirements.md,1805,9f58d7100e4f041e47b833176d402d1d378b19b3d2962398092fad7fa87dd3e6
planning-post-diagnostic-amendment-review-isolation.md,1852,ca79ffb16896a5b9ed5384364b3d987c16fef94ef2cc69a2f8cc6525b9ac2d58
planning-post-diagnostic-amendment-review-requirements.md,2103,74cbe352e7517c59cd934db5480584b079451799af2ab7243e6a7ed096ba1c73
planning-review-isolation.md,2244,19101a0bfc8820c75a81de5c914db31674bd852d7acb4960f7fda5b2c37faede
planning-review-measurement.md,2071,a99faf44da6034333e227cf7775b3c6cf4f26a79110506351f2e0dca93a051fd
planning-track-b-amendment-review-isolation.md,1954,6a73d44d9423ef3ab0e8be04f5d369bca8102388a7b3d18fa544b67c7058f7f9
planning-track-b-amendment-review-requirements.md,2324,2307541c53062a62f5d082768cee23aedd10be0a3b6b7b213f02725f1e1ee503
prerequisite-bindings.csv,1874,2ac063f37520a8fbc09d2d246ea9b30f8659b5fad201f2c692a02d90a363606a
prerequisite-candidate-parity-red.txt,88,e5aa1adfa4de4ee51b11f5f085f76208b8710b700cd59fd78f88da214314ce23
privacy-check.txt,380,abb881028a3f36c15b1bfc1b0bfeda46298f2947448aad92d022a7eaf4ffce61
process-summary.csv,887,0d33dd504c8d34bfccc3262841d5ccd54831aad4c98aec3ab801ab6ef26de909
provenance.md,3814,3871a15581fca7349fab3bc0d077d32118f97fcd7ee8fd117983f8f0201507a0
quality-gate-repair-review-isolation.md,1510,7ca88bf2ec88ccd0379b13f0412f04e36db383ac5cd2b6bd18a90a502638db36
quality-gate-repair-review-requirements.md,1839,0433f106ecf69b8fcab34b658fe8cd2419eefd8ae2f07546cd6e1c0423eeefe7
review-isolation.md,5610,30e4f1517033e19ba50dbfd856c2dbfd50c668279ffec7f6091da5f236296e1b
review-requirements.md,8107,4ac939126c64cd4295996f441aabbc1e03d682e082d63f2715bc109fef2dfa7e
setup-failures.md,4813,1abd83d0c898486c76dfacf22659dd2bf3d3a9ce17386aad7cafad82b144701a
source-binding.txt,952,d1f04113467fe141ac01f8b79a6482b3a3f867fc489af9f25eb7159f4d3c4d55
test-check-summary.md,2732,be70d52bd1ffdda7a56de12114fd64031f64bf95ff7fdb34fdda3d8b67ffd0e1
timestamps.csv,2421,4c3879e9af0776c511d279e44a39a2f70036e71bed8d780e677fc499fa6feb06
track-b-correction-review-isolation.md,1908,9967a1ceae8439ec12c8050792f6b66a5a1ef458b4f0ea79d10aadcce6cb2c48
track-b-correction-review-requirements.md,2090,a57b448a84d8d8869efa8bfd402f51e5ba94bcfa568ab5e07377f3ed757a1702
