event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
41,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_bytes_read:reverse_bytes=1263091",66347008,63.3,31404032,29.9,83865600,80,23260805,22.2,62835268,59.9,,,""
42,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",72859648,69.5,37224448,35.5,83865600,80,28186008,26.9,62835268,59.9,,,""
43,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_advanced_merge_drop",65519616,62.5,29945856,28.6,83865600,80,21998000,21,62835268,59.9,,,""
44,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=62158:lookup_records=70807",69566464,66.3,29945856,28.6,83865600,80,21998160,21,62835268,59.9,,,""
45,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_advanced_payload_parse:lookup_texts=62158:lookup_records=70807",72056832,68.7,32440320,30.9,83865600,80,24484706,23.4,62835268,59.9,,,""
46,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_compact_table_store_parse",75722752,72.2,35713024,34.1,83865600,80,27997052,26.7,62835268,59.9,,,""
47,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_dictionary_load",75722752,72.2,35713024,34.1,83865600,80,27996541,26.7,62835268,59.9,,,""
48,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=19975",77434880,73.8,38248448,36.5,83865600,80,28997687,27.7,62835268,59.9,,,""
49,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_translator_index_build",77557760,74,38445056,36.7,83865600,80,29035475,27.7,62835268,59.9,,,""
50,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:before_dictionary_load",77680640,74.1,38457344,36.7,83865600,80,29036284,27.7,62835268,59.9,,,""
51,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_byte_backed_dictionary_load:lookup_texts=125487:lookup_records=127144",102318080,97.6,50663424,48.3,107339776,102.4,41183742,39.3,62835268,59.9,,,""
52,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_filter_install",102330368,97.6,50663424,48.3,107339776,102.4,41184104,39.3,62835268,59.9,,,""
53,"m47:phase:after_create_session",95371264,91,43528192,41.5,107339776,102.4,33848627,32.3,62835268,59.9,,,""
54,"m47:phase:after_select_schema",95404032,91,43528192,41.5,107339776,102.4,33848754,32.3,62835268,59.9,,,""
55,"m47:phase:after_typing_neihoumaa",95891456,91.4,43577344,41.6,107339776,102.4,33904199,32.3,62835268,59.9,,,""
56,"m47:phase:steady_after_esc",95891456,91.4,43577344,41.6,107339776,102.4,33898462,32.3,62835268,59.9,,,""
