input_id,input,storage,key_index,prefix,key,candidates,model_calls,model_ns,graph_rebuild_calls,graph_rebuild_ns,incremental_reuse_hits,incremental_extend_ns,discarded_rebuild_chars,candidate_state_buckets,candidate_states_ranked,candidate_path_ns,candidate_merge_ns,index_probes,prefix_hits,prefix_misses,entry_ranges_emitted,table_entries_considered,vocabulary_index_probes,vocabulary_rows_examined,vocabulary_rows_accepted,graph_entries_inserted,graph_entry_text_bytes,code_span_rederivations,dp_states_created,dp_beam_evictions
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,23,ceshiyixiachangjushurux,x,5,1,211400,1,103500,0,0,23,0,0,0,0,31,23,8,8,56,8,10,5,61,207,0,171,57
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,24,ceshiyixiachangjushuruxi,i,5,1,212800,1,104500,0,0,24,0,0,0,0,32,24,8,8,56,8,10,5,61,207,0,171,57
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,25,ceshiyixiachangjushuruxin,n,5,1,213900,1,106400,0,0,25,0,0,0,0,33,25,8,8,56,8,10,5,61,207,0,171,57
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,26,ceshiyixiachangjushuruxing,g,5,1,235100,1,111700,0,0,26,0,0,0,0,34,26,8,9,63,9,10,5,68,228,0,202,73
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,27,ceshiyixiachangjushuruxingn,n,5,1,238300,1,114300,0,0,27,0,0,0,0,36,27,9,9,63,9,10,5,68,228,0,202,73
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,28,ceshiyixiachangjushuruxingne,e,5,1,239200,1,115900,0,0,28,0,0,0,0,37,28,9,9,63,9,10,5,68,228,0,202,73
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,29,ceshiyixiachangjushuruxingnen,n,5,1,244500,1,117200,0,0,29,0,0,0,0,38,29,9,9,63,9,10,5,68,228,0,202,73
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,30,ceshiyixiachangjushuruxingneng,g,5,1,265000,1,122900,0,0,30,0,0,0,0,39,30,9,10,70,10,10,5,75,249,0,234,90
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,31,ceshiyixiachangjushuruxingnengz,z,5,1,266400,1,125300,0,0,31,0,0,0,0,41,31,10,10,70,10,10,5,75,249,0,234,90
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,32,ceshiyixiachangjushuruxingnengze,e,5,1,268000,1,127000,0,0,32,0,0,0,0,42,32,10,10,70,10,10,5,75,249,0,234,90
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,33,ceshiyixiachangjushuruxingnengzen,n,5,1,299600,1,133100,0,0,33,0,0,0,0,43,33,10,11,77,11,10,5,82,270,0,268,109
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,34,ceshiyixiachangjushuruxingnengzeny,y,5,1,299500,1,137200,0,0,34,0,0,0,0,45,34,11,11,77,11,10,5,82,270,0,268,109
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,35,ceshiyixiachangjushuruxingnengzenya,a,5,1,299400,1,136500,0,0,35,0,0,0,0,46,35,11,11,77,11,10,5,82,270,0,268,109
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,36,ceshiyixiachangjushuruxingnengzenyan,n,5,1,338200,1,147500,0,0,36,0,0,0,0,47,36,11,12,84,12,10,5,89,291,0,292,118
m55_37,ceshiyixiachangjushuruxingnengzenyang,byte_backed,37,ceshiyixiachangjushuruxingnengzenyang,g,5,1,354000,1,149800,0,0,37,0,0,0,0,49,38,11,13,91,13,10,5,96,312,0,319,130
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,1,z,z,0,4,44600,2,12300,0,0,2,1,1,8100,3300,2,2,0,0,0,0,0,0,0,0,0,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,2,zh,h,0,4,13800,2,5100,1,4000,2,1,1,700,200,3,3,0,0,0,0,0,0,0,0,0,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,3,zhe,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,4,zheg,g,5,1,42400,1,20400,0,0,4,2,8,2700,6500,5,4,1,1,7,1,3,0,7,21,0,7,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,5,zhege,e,5,1,39400,1,25500,1,25500,0,3,23,2300,6900,2,1,1,2,7,2,3,3,10,39,0,21,3
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,6,zhegey,y,5,1,11500,1,3200,1,3300,0,3,23,100,6300,3,1,2,2,0,2,3,0,0,0,0,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,7,zhegeyi,i,5,1,25600,1,10300,1,10300,0,4,38,2500,10900,3,1,2,3,7,3,3,0,7,21,0,17,2
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,8,zhegeyin,n,5,1,28400,1,10800,1,10800,0,5,53,2300,13000,4,2,2,4,7,4,3,0,7,21,0,15,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,9,zhegeyinq,q,5,1,19000,1,4400,1,4500,0,5,53,200,12500,5,1,4,4,0,4,3,0,0,0,0,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,10,zhegeyinqi,i,5,1,40200,1,14200,1,14300,0,6,68,2500,20800,5,1,4,5,7,5,3,0,7,21,0,24,9
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,11,zhegeyinqin,n,5,1,23200,1,5100,1,5100,0,6,68,100,16000,6,2,4,5,0,5,3,0,0,0,0,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,12,zhegeyinqing,g,5,1,41300,1,14600,1,14600,0,7,83,2100,22100,6,1,5,6,7,6,3,0,7,21,0,23,8
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,13,zhegeyinqingq,q,5,1,28900,1,5100,1,5100,0,7,83,100,21600,7,1,6,6,0,6,3,0,0,0,0,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,14,zhegeyinqingqi,i,5,1,45800,1,16100,1,16200,0,8,98,2000,25200,7,1,6,7,7,7,3,0,7,21,1,26,11
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,15,zhegeyinqingqis,s,5,1,33300,1,5900,1,5900,0,8,98,200,24900,8,1,7,7,0,7,3,0,0,0,1,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,16,zhegeyinqingqish,h,5,1,32900,1,5600,1,5600,0,8,98,100,24700,8,1,7,7,0,7,3,0,0,0,1,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,17,zhegeyinqingqishi,i,5,1,54600,1,19400,1,19400,0,9,113,2000,30500,8,1,7,8,7,8,8,0,7,21,1,33,18
