engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,8,8,8,46204200,24,31212800,52945,31611,11037,219000,11100,992600,300,678300,11037,0,4,1,2000100,4,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,9,8,8,47143200,24,31944900,52945,31611,11037,219600,13000,1039000,0,724100,11037,0,4,1,2371100,4,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,10,8,8,53737400,24,36054100,52945,31611,11037,212900,12600,1178700,200,735800,11037,0,4,1,1952900,4,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,11,8,8,48588500,24,32839500,52945,31611,11037,202500,11700,1211600,200,1148900,11037,0,4,1,1382900,4,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,12,8,8,49570900,24,33923500,52945,31611,11037,205100,11900,1017100,300,840100,11037,0,4,1,2285200,4,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,13,8,8,51099900,24,36595800,52945,31611,11037,208400,11100,1087000,200,826700,11037,0,4,1,1756100,4,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,14,8,8,48484300,24,33401700,52945,31611,11037,210200,11700,1104900,100,633400,11037,0,4,1,2296000,4,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,15,8,8,50241300,24,32499900,52945,31611,11037,209800,12800,1314200,100,1015800,11037,0,4,1,2062200,4,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,16,8,8,46312500,24,31944800,52945,31611,11037,214700,12700,786300,300,807200,11037,0,4,1,1556300,4,1,600
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,17,8,8,44970900,24,31297400,52945,31611,11037,198100,11800,885700,400,620700,11037,0,4,1,1407900,4,1,200
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,18,8,8,49110300,24,33641600,52945,31611,11037,229500,12800,1586400,100,825000,11037,0,4,1,1890900,4,1,500
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,19,8,8,47212500,24,32461900,52945,31611,11037,202300,10400,1066600,100,783000,11037,0,4,1,2280800,4,1,500
