event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
21,"m47:deploy:jyut6ping3:after_prebuilt_metadata:table_bytes=15248382:prism_bytes=19354757:reverse_bytes=3592525",15298560,14.6,6877184,6.6,83820544,79.9,3713148,3.5,62835399,59.9,,,""
22,"m47:deploy:jyut6ping3:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",15306752,14.6,6877184,6.6,83820544,79.9,3713254,3.5,62835399,59.9,,,""
23,"m47:deploy:workspace_update:after_schema:jyut6ping3_mobile",11497472,11,2842624,2.7,83820544,79.9,116439,0.1,62835399,59.9,,,""
24,"m47:deploy_workspace:after_workspace_maintenance",11411456,10.9,2736128,2.6,83820544,79.9,13027,0,62835399,59.9,,,""
25,"m47:phase:after_deploy",11456512,10.9,2768896,2.6,83820544,79.9,13079,0,62835399,59.9,,,""
26,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",12570624,12,3342336,3.2,83820544,79.9,412978,0.4,62835399,59.9,,,""
27,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",16060416,15.3,6852608,6.5,83820544,79.9,3880875,3.7,62835399,59.9,,,""
28,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",16060416,15.3,6893568,6.6,83820544,79.9,3881079,3.7,62835399,59.9,,,""
29,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",19660800,18.8,10493952,10,83820544,79.9,7473552,7.1,62835399,59.9,,,""
30,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",44490752,42.4,25546752,24.4,83820544,79.9,17214913,16.4,62835399,59.9,,,""
31,"m47:compiled_dictionary:jyut6ping3:after_reverse_advanced_merge_drop",27381760,26.1,7757824,7.4,83820544,79.9,3881313,3.7,62835399,59.9,,,""
32,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=125487:lookup_records=127144",85458944,81.5,55541760,53,85458944,81.5,37636591,35.9,62835399,59.9,,,""
33,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=125487:lookup_records=127144",85458944,81.5,55541760,53,85458944,81.5,37640097,35.9,62835399,59.9,,,""
34,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",154198016,147.1,123281408,117.6,161677312,154.2,83186031,79.3,91348599,87.1,,,""
35,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",100110336,95.5,67371008,64.3,161677312,154.2,45963510,43.8,91348599,87.1,,,""
36,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",152678400,145.6,122257408,116.6,161677312,154.2,84433556,80.5,91348599,87.1,,,""
37,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",108126208,103.1,76959744,73.4,161677312,154.2,50730829,48.4,91348599,87.1,,,""
38,"m47:translator:script_translator@luna_pinyin:skip_translator_load:load_translator=false",108232704,103.2,76959744,73.4,161677312,154.2,50730476,48.4,91348599,87.1,,,""
39,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:before_dictionary_load",108576768,103.5,77336576,73.8,161677312,154.2,50730652,48.4,91348599,87.1,,,""
40,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_dictionary_load:lookup_texts=125487:lookup_records=127144",177823744,169.6,146747392,139.9,179515392,171.2,110389049,105.3,113322402,108.1,,,""
41,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_filter_install",177840128,169.6,146747392,139.9,179515392,171.2,110389403,105.3,113322402,108.1,,,""
42,"m47:phase:after_create_session",170901504,163,139603968,133.1,179515392,171.2,103038067,98.3,113322402,108.1,,,""
43,"m47:phase:after_select_schema",171307008,163.4,139960320,133.5,179515392,171.2,103038194,98.3,113322402,108.1,,,""
44,"m47:phase:after_typing_neihoumaa",171966464,164,140165120,133.7,179515392,171.2,103093639,98.3,113322402,108.1,,,""
45,"m47:phase:steady_after_esc",171966464,164,140165120,133.7,179515392,171.2,103087902,98.3,113322402,108.1,,,""
