# Generated from docs/reports/evidence/m59-canonical-jyutping-reachability-parity/phase-1/canonical-rime-cantonese-capture.json
# Scope: M59 named canonical Jyutping reachability rows only.
[bei]
䚦	zi6
䝰	zi6
䦙	zi6
嵵	zi6
飤	zi6
𠊷	zi6
𠱾	zi6
𠻸	zi6
𡍶	zi6
𡵆	zi6
𣏌	zi6
𥜥	zi6
𦬊	zi6
𩨨	zi6
㚄	zi3
㨖	zi3
㰷	zi3
㴛	zi3
䄊	zi3
䅆	zi3
䏯	zi3
䐉	zi3
䓌	zi3
䘭	zi3
䚳	zi3
䞃	zi3
䞇	zi3
䠦	zi3
䡹	zi3
䥍	zi3
䦯	zi3
䲀	zi3
俧	zi3
梽	zi3
織	zi3
𡟹	zi3
𢙺	zi3
𢜔	zi3
𤥴	zi3
𥺃	zi3
𦤹	zi3
𩥝	zi3
㕄	zi2
㜽	zi2
㞨	zi2
㡳	zi2
㡶	zi2
㧗	zi2
㫑	zi2
㫖	zi2
㮹	zi2
㲛	zi2
㺭	zi2
㾅	zi2
䅩	zi2
䇛	zi2
䔂	zi2
䘣	zi2
䛗	zi2
䤠	zi2
䦻	zi2
䰵	zi2
䳅	zi2
抵	zi2
橴	zi2
𠂔	zi2
𡥄	zi2
𣲵	zi2
𧘲	zi2
㞢	zi1
㠿	zi1
㩼	zi1
㯄	zi1
㰣	zi1
㲍	zi1
㴯	zi1
㸟	zi1
㽧	zi1
㽻	zi1
㾳	zi1
㿳	zi1
䅔	zi1
䊷	zi1
䎩	zi1
䓋	zi1
䓜	zi1
䓡	zi1
䓩	zi1
䖪	zi1
䝷	zi1
䟡	zi1
䠖	zi1
䣎	zi1
䣽	zi1
䧴	zi1
䵹	zi1
兹	zi1
徔	zi1
次	zi1
鴲	zi1
齊	zi1
𠯽	zi1
𡝳	zi1
𢆶	zi1
𣔰	zi1
𣷸	zi1
𤦧	zi1
𦔒	zi1
𪗋	zi1
