path,git_blob_sha1,byte_size,packet,removal_class,retained_summary_pointer,recovery_commit
docs/reports/evidence/m33-2026-06-23/before-yune-vs-librime/yune/results/samples.csv,0312676fbc161c825f722e162a12a70b6f3eba98,9521,m33-2026-06-23,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m34-queryable-table-prism/after-yune-vs-librime/librime-1.17.0/results/samples.csv,367a12ce83879591fb06ddecf7f90d68d120c06f,9852,m34-queryable-table-prism,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m34-queryable-table-prism/after-yune-vs-librime/samples.csv,56f4f8bb601877f0b0bfbd1176ea4cd52d1dc4d5,23267,m34-queryable-table-prism,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m34-queryable-table-prism/after-yune-vs-librime/yune/results/samples.csv,9d539860a0e64aa08e963930c9395abe08cc00d7,9486,m34-queryable-table-prism,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m34-queryable-table-prism/baseline-yune-vs-librime/librime-1.17.0/results/samples.csv,e0dbf0d3180657966ea1f7775d1b33a51e7c6cd1,9852,m34-queryable-table-prism,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m34-queryable-table-prism/baseline-yune-vs-librime/samples.csv,8a8e48fcf5e9bde8a5f6f855a045592457cb74e6,23267,m34-queryable-table-prism,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m34-queryable-table-prism/baseline-yune-vs-librime/yune/results/samples.csv,3f2f672bc9d6448556078b73fcf980aa8abef1b5,9486,m34-queryable-table-prism,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m35-compact-table-prism-storage/after-yune-vs-librime/librime-1.17.0/results/samples.csv,2b3b01c8303d91285acd20a7d94b711fa27abaf7,9852,m35-compact-table-prism-storage,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m35-compact-table-prism-storage/after-yune-vs-librime/samples.csv,cd4fcde2218c39cc92f2b0dc46a136f613e47062,23267,m35-compact-table-prism-storage,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m35-compact-table-prism-storage/after-yune-vs-librime/yune/results/samples.csv,232ce0bdafb8f059489a2e5fc74eef7db7622fcd,9486,m35-compact-table-prism-storage,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m35-compact-table-prism-storage/baseline-yune-vs-librime/librime-1.17.0/results/samples.csv,946163c6f9555efb474d9462b500e6234b73fa70,9854,m35-compact-table-prism-storage,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m35-compact-table-prism-storage/baseline-yune-vs-librime/samples.csv,0ad9bd1e9689ba79f316118adcd40a15ec6c2fb8,23272,m35-compact-table-prism-storage,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m35-compact-table-prism-storage/baseline-yune-vs-librime/yune/results/samples.csv,a50aec4654c10fb0df526092d07cce1cee0cd1c1,9489,m35-compact-table-prism-storage,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m36-product-path/phase-0-baseline/samples.csv,2eae955434a41e439a2f771e585233dcac2fd27d,46996,m36-product-path,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m36-product-path/phase-0-baseline/track-a-librime-1.17.0/samples.csv,04d36b2b131180f6661e027054306247e6f343a4,12383,m36-product-path,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m36-product-path/phase-0-baseline/track-a-yune/samples.csv,22085721bc8b50b4ad79d180de4af673592de253,12014,m36-product-path,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m36-product-path/phase-0-baseline/track-b-yune-product/samples.csv,f11ed0b5b541ef35cef8a73173709551e43ec0ca,15828,m36-product-path,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m36-product-path/phase-0-native-inprocess-smoke/samples.csv,c615402295d7c7ced8e4353abf6bc17a1aba9afe,2950,m36-product-path,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
